Time,X,Y,Z,Mag
-0.03,-0.039427,-0.117555,-0.041069,0.130615195
-0.0299,-0.197135,0.039185,0.205345,0.287339941
-0.0298,-0.078854,0.039185,-0.082138,0.120416231
-0.0297,-0.078854,0,-0.164276,0.182221177
-0.0296,0.197135,0.15674,-0.164276,0.300692933
-0.0295,0.039427,0.07837,-0.082138,0.120179018
-0.0294,-0.118281,-0.15674,-0.082138,0.212848476
-0.0293,-0.197135,-0.039185,-0.123207,0.235749098
-0.0292,0.118281,0.195925,-0.041069,0.232515942
-0.0291,0.078854,0.195925,-0.123207,0.24450874
-0.029,0.118281,0.117555,-0.205345,0.26453004
-0.0289,-0.039427,-0.07837,-0.164276,0.186233588
-0.0288,0.078854,0,0.123207,0.146280273
-0.0287,-0.039427,-0.039185,0,0.055587342
-0.0286,0,0.039185,-0.246414,0.249510167
-0.0285,0,0.07837,-0.082138,0.113527565
-0.0284,0.039427,-0.07837,-0.041069,0.096865928
-0.0283,-0.157708,0,0,0.157708
-0.0282,-0.118281,-0.15674,-0.041069,0.200610282
-0.0281,-0.157708,0,-0.164276,0.227724433
-0.028,0.039427,-0.15674,-0.287483,0.329800532
-0.0279,-0.157708,0.117555,-0.123207,0.232101177
-0.0278,0.197135,0.15674,-0.082138,0.264908072
-0.0277,0.039427,0.07837,-0.041069,0.096865928
-0.0276,-0.078854,0.07837,-0.041069,0.118517817
-0.0275,0.039427,0.117555,0,0.12399059
-0.0274,0.039427,0,-0.123207,0.129361714
-0.0273,-0.078854,0.039185,-0.164276,0.186386753
-0.0272,0,0.07837,-0.123207,0.146019936
-0.0271,-0.039427,0.15674,-0.287483,0.329800532
-0.027,0.039427,0.23511,-0.164276,0.289513047
-0.0269,0,0.039185,-0.041069,0.056763782
-0.0268,-0.039427,0.039185,-0.164276,0.17342594
-0.0267,0.039427,0.195925,-0.123207,0.234778744
-0.0266,0.157708,0.15674,-0.369621,0.431345482
-0.0265,0.197135,0.274295,-0.205345,0.395305609
-0.0264,0.078854,-0.039185,-0.287483,0.300665749
-0.0263,0.039427,0.039185,-0.123207,0.135166258
-0.0262,0.039427,0.274295,-0.123207,0.303269188
-0.0261,0.197135,0.31348,-0.205345,0.423436521
-0.026,0.157708,-0.039185,-0.164276,0.231071161
-0.0259,0.197135,0.195925,-0.369621,0.462459185
-0.0258,0.157708,0.195925,-0.287483,0.381974992
-0.0257,-0.039427,0.117555,-0.369621,0.389863245
-0.0256,0.157708,0.117555,-0.164276,0.256276404
-0.0255,-0.157708,0.15674,-0.164276,0.276452247
-0.0254,0.039427,0.039185,-0.041069,0.069113062
-0.0253,-0.236562,0.07837,0,0.249205611
-0.0252,0,-0.039185,-0.041069,0.056763782
-0.0251,-0.039427,-0.07837,0.123207,0.151249166
-0.025,-0.039427,0.039185,0,0.055587342
-0.0249,0.039427,0.07837,-0.082138,0.120179018
-0.0248,-0.039427,0.039185,0.041069,0.069113062
-0.0247,0.078854,0.039185,-0.287483,0.300665749
-0.0246,0.118281,0.07837,-0.246414,0.284345057
-0.0245,-0.118281,0.15674,-0.123207,0.231814123
-0.0244,0.039427,0.195925,-0.164276,0.258703881
-0.0243,0.039427,0.117555,-0.164276,0.205816109
-0.0242,0.039427,0,0.041069,0.056931108
-0.0241,0.039427,-0.07837,-0.123207,0.151249166
-0.024,0.118281,0.274295,-0.041069,0.30152082
-0.0239,0.078854,0.15674,-0.164276,0.240358035
-0.0238,-0.078854,0.195925,0.123207,0.24450874
-0.0237,0,0.039185,0.328552,0.330880463
-0.0236,-0.078854,0.15674,0.123207,0.214395303
-0.0235,-0.039427,0,0.041069,0.056931108
-0.0234,-0.197135,0.039185,0.164276,0.259584816
-0.0233,-0.275989,0.117555,0.082138,0.311023724
-0.0232,-0.275989,0.31348,0,0.417659716
-0.0231,-0.118281,0.23511,-0.287483,0.38976093
-0.023,0.039427,0.31348,-0.041069,0.318607692
-0.0229,0.118281,0.039185,-0.246414,0.276126273
-0.0228,0.118281,0.23511,-0.041069,0.266371488
-0.0227,0,0.31348,-0.246414,0.398734962
-0.0226,0.039427,0.31348,-0.082138,0.32645191
-0.0225,0.078854,0.117555,-0.123207,0.187662186
-0.0224,0.157708,0.07837,-0.041069,0.180832334
-0.0223,0.039427,0.039185,-0.082138,0.099179653
-0.0222,-0.118281,0.039185,-0.205345,0.240192482
-0.0221,0.078854,0.07837,0.041069,0.118517817
-0.022,0.039427,0.039185,-0.041069,0.069113062
-0.0219,0.039427,0,-0.205345,0.209095809
-0.0218,-0.118281,-0.117555,0.082138,0.185893045
-0.0217,-0.157708,-0.039185,0.041069,0.16761247
-0.0216,-0.118281,-0.23511,0.123207,0.290597784
-0.0215,-0.118281,-0.195925,0.287483,0.367455407
-0.0214,-0.275989,-0.117555,0.164276,0.34201712
-0.0213,-0.039427,-0.117555,0,0.12399059
-0.0212,-0.157708,0.07837,0.041069,0.180832334
-0.0211,0,-0.07837,-0.123207,0.146019936
-0.021,-0.039427,-0.07837,0.041069,0.096865928
-0.0209,-0.157708,-0.15674,0.082138,0.237035634
-0.0208,-0.197135,-0.15674,0.123207,0.280374037
-0.0207,-0.236562,0,0.041069,0.240100484
-0.0206,-0.039427,0,-0.082138,0.091110589
-0.0205,0,0.195925,0.041069,0.200183087
-0.0204,0.039427,-0.195925,0.082138,0.216073471
-0.0203,-0.039427,-0.039185,0.164276,0.17342594
-0.0202,-0.078854,-0.117555,0.123207,0.187662186
-0.0201,-0.157708,-0.117555,0,0.196700257
-0.02,0,-0.07837,-0.082138,0.113527565
-0.0199,0.078854,0.07837,-0.123207,0.165951123
-0.0198,0.078854,0.07837,-0.041069,0.118517817
-0.0197,0,0,-0.164276,0.164276
-0.0196,-0.118281,0.07837,-0.164276,0.217068782
-0.0195,0.039427,0.07837,-0.123207,0.151249166
-0.0194,-0.039427,0.039185,-0.123207,0.135166258
-0.0193,-0.197135,0,-0.041069,0.201367502
-0.0192,-0.236562,-0.117555,0.082138,0.276635878
